transaction_amount,transaction_time,customer_age,account_balance,device_trust_score,location_risk,is_international,num_failed_logins
4692.680899768591,18,25,436601.41647409194,36.81335899811382,28.391829091838904,1,3
30101.21430917521,7,24,431947.87745905673,3.9132254483859374,62.91222193389995,0,0
13167.456935454493,6,51,186388.26804654306,32.68787897653196,58.41946353345618,0,2
9129.425537759533,15,61,105235.55746470671,88.83636828012641,63.38277869439427,0,2
1696.2487046234628,18,70,387797.89278656873,2.554740112160414,71.72829719321066,0,3
1695.9629191460517,5,31,217107.02159746346,40.632747304672534,1.9032253592738413,0,2
598.3876860868068,19,33,96828.95478594305,3.1399629812741137,10.508559517244286,0,0
20112.308644799396,20,60,452308.24581625796,37.0923425109065,35.94834518272126,0,1
9190.821536272646,10,69,99853.9929263026,17.26406407802912,15.485999752158175,0,2
12312.500617045904,4,26,13877.776927424307,25.221839326837202,7.5320042544554155,0,2
207.99307999138622,15,27,11119.706909942564,87.7598373161419,64.09643959973319,0,1
35035.57475158312,6,34,311535.3628706779,43.6049220621891,81.5336477491099,0,5
17864.29543354675,4,29,331175.85529804765,27.379799140191217,75.26266574342824,0,0
2386.87625248947,10,23,156209.81082343496,58.93383779505478,81.70397786091792,1,2
2006.7898874966336,14,36,160685.48363428464,14.210695983258237,66.58565440578772,0,1
2026.1142283225706,2,60,170407.46361491142,25.939160742085587,73.53453218142022,0,2
3627.5372946047714,4,58,340399.11483268044,54.62479676028885,27.177877420830132,1,1
7439.278308608545,22,70,30008.761722387462,23.75230418480688,99.30080362841643,0,3
5655.370667803367,20,46,464629.0599929715,67.91277374008733,18.316565449388712,1,3
3442.229925539415,4,23,112038.00104454577,49.149130225952256,21.44938743893825,0,0
9463.708738997986,8,76,499836.92941580404,77.19890702546908,28.892183181584684,0,1
1502.3452872733867,14,42,86589.8241998063,94.82445357224685,97.53324301065788,0,1
3455.155120024023,2,74,386001.68219887634,11.580488934740774,98.82885893539061,0,2
4562.77218220847,5,41,112482.85991988289,33.466500998454485,79.48937497064975,0,7
6089.34687859775,16,42,41342.554019983734,31.954906287840657,62.905759855963375,0,2
15379.360110309119,20,33,437591.72885097377,15.118291933725425,52.00625751846134,0,3
2227.3586212869027,7,69,429516.87833625503,81.03031373334709,97.06208456868457,0,3
7220.291550331277,20,33,202381.62583235107,75.987870403879,69.56228028582476,0,1
8975.047213097605,10,23,351495.67512767296,48.442547083439905,94.47301283260302,0,0
475.63849756408547,5,54,278975.9004092747,53.77707777946096,31.65507994776239,1,1
9353.3302064961,7,38,426625.10072320065,5.954413800249625,33.37747922695657,0,1
1869.6125197741642,9,21,158212.92869000856,55.55073523270456,85.47245941184356,0,1
672.6393087930423,23,51,262312.5275994936,79.13415240196365,14.985492058529438,1,1
29736.877935069308,2,45,243200.81323107067,57.38275735838572,94.59278612960757,0,5
33706.303424611724,22,55,177599.0073021725,26.53063701204189,50.747435466340754,0,5
16523.315728128768,13,58,445836.07721362973,66.75482723343372,92.64138785836977,0,2
3632.8785996875827,22,45,83773.08440660521,36.14884299652476,33.67927887258131,1,3
1027.7731500250625,13,34,75604.81112082738,54.48732842857352,71.5958904139397,0,3
11527.507630986618,9,31,288877.85812605295,48.756536327892476,48.28751219726897,0,2
5800.908425853983,11,24,329089.62076248607,38.11750009651801,62.680363024547304,0,0
1301.5223395444864,5,39,98115.00790795802,71.88779803941351,50.437249313915224,1,2
6835.472281341501,11,68,195968.00368505743,88.38761119858817,96.71156173713614,0,2
349.93721443479086,22,18,473335.3576463931,0.5212518476924943,69.21053978139172,0,2
24004.22887393024,13,46,124062.09392264632,93.36165192303673,25.131896862631542,0,2
2994.5777684068607,1,69,334511.99035657966,51.151513608322496,90.96769219050846,0,3
10862.557985649803,8,48,370334.54745509784,70.07318803632651,29.402973815510435,0,2
3735.4658165762366,9,47,224616.22103311462,85.56245661758771,37.16050993008563,1,3
7341.108959092287,16,74,468825.4673930319,46.710369231426995,10.212369802021337,0,1
7912.237979817975,16,32,368591.71087417647,83.49740733648903,89.99665197961907,1,2
2043.8859950790575,2,35,229504.36535058802,17.761981945520223,28.6112023227863,0,5
34928.07132736227,18,52,285098.2656862709,15.916753447981446,25.891761793138237,0,0
14922.453771381408,0,67,346614.1082691252,65.74713688561535,92.02625979949539,0,1
28050.944192915824,11,47,296502.9000341799,87.01430055517372,80.55268624050333,0,3
22521.519975341966,6,51,439470.09432921186,89.24261775360394,14.10789215193744,0,1
9110.54412383275,3,59,179087.44247792018,64.37404583772465,76.93245039036807,1,2
25494.35379269405,9,28,150642.98428784666,52.548923020931745,91.30330980537907,1,3
926.5545895311562,12,44,107705.60585813689,33.13930876965162,7.851121821074392,0,1
2181.3469463126744,1,41,19853.701064232973,98.00004155993314,82.5214994904573,0,2
462.81965686831956,9,52,22463.96822564761,31.969568666625047,54.7420051873056,0,5
3935.320868030868,20,56,435157.5413615321,74.41861072315932,66.91974493788007,1,3
4921.302917942186,21,25,339518.18005654775,53.19817999050007,49.28543389049369,0,1
3165.604432088257,3,68,330605.67530280654,60.85123425253467,69.78030849052786,0,3
17645.57865240934,17,35,307706.76664850814,39.34805505886262,3.4097861666753215,0,4
4412.269995298701,4,30,424760.35320235835,96.48231254722478,76.27067232232837,0,3
